run_id,filename,test,random_seed,traffic_pattern,workload,cache_policy,compiler_opt,clock_mhz,noc_virtual_channels,throughput_mb_s,average_latency_ns,execution_time_s,temperature_c,functional_coverage_pct,Outcome,Failure_Type,failure_signature,outcome_source,outcome_confidence,parse_conflict,is_truncated,config_id,extra_fields,cpu_mode,l2_cache_kb,dma_channels,axi_data_width,axi_burst_len,outstanding_txns,snoop_enable,ecc_enable,prefetch_enable,iommu_enable,voltage_mv,packet_size_bytes,irq_rate_khz
RUN_000013,RUN_000013.log,cpu_exception_random,215876,uniform,medium,write_through,O0,1200,4,528.95,223.76,7.679,50,93.93,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0003,"{""code_coverage_pct"": [91.19], ""memory_latency_ns"": [200], ""soc_block"": [""CPU_SUBSYS""], ""transaction_count"": [16846]}",power_save,2048,8,256,32,16,1,0,0,1,800,2048,100
RUN_000014,RUN_000014.log,cpu_exception_random,223795,uniform,medium,write_through,O0,1200,4,660.92,221.61,6.931,50,96.34,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0003,"{""code_coverage_pct"": [90.96], ""memory_latency_ns"": [200], ""soc_block"": [""CPU_SUBSYS""], ""transaction_count"": [9505]}",power_save,2048,8,256,32,16,1,0,0,1,800,2048,100
RUN_000015,RUN_000015.log,cpu_exception_random,231714,uniform,medium,write_through,O0,1200,4,679.13,236.52,9.127,50,95.41,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0003,"{""code_coverage_pct"": [94.14], ""memory_latency_ns"": [200], ""soc_block"": [""CPU_SUBSYS""], ""transaction_count"": [6578]}",power_save,2048,8,256,32,16,1,0,0,1,800,2048,100
RUN_000016,RUN_000016.log,memory_ecc_test,200057,hotspot,light,write_back,O2,800,4,614.66,120.21,11.705,105,85.44,Fail,NOC_DEADLOCK,NOC_CREDIT_STARVATION,parsed_status_field,0.95,False,False,CFG_0004,"{""code_coverage_pct"": [84.33], ""error_code"": [""NOC-431""], ""event"": [""BURST_WINDOW_FULL""], ""memory_latency_ns"": [100], ""soc_block"": [""MEMORY""], ""transaction_count"": [11529]}",performance,256,6,64,64,64,0,0,1,1,800,1024,25
RUN_000017,RUN_000017.log,memory_ecc_test,207976,hotspot,light,write_back,O2,800,4,672.3,116.34,8.485,105,93.54,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0004,"{""code_coverage_pct"": [92.43], ""memory_latency_ns"": [100], ""soc_block"": [""MEMORY""], ""transaction_count"": [22660]}",performance,256,6,64,64,64,0,0,1,1,800,1024,25
RUN_000018,RUN_000018.log,memory_ecc_test,215895,hotspot,light,write_back,O2,800,4,730.07,139.95,8.619,105,93.1,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0004,"{""code_coverage_pct"": [92.36], ""memory_latency_ns"": [100], ""soc_block"": [""MEMORY""], ""transaction_count"": [23386]}",performance,256,6,64,64,64,0,0,1,1,800,1024,25
RUN_000019,RUN_000019.log,memory_ecc_test,223814,hotspot,light,write_back,O2,800,4,735.27,122.98,8.031,105,93.08,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0004,"{""code_coverage_pct"": [92.07], ""memory_latency_ns"": [100], ""soc_block"": [""MEMORY""], ""transaction_count"": [16132]}",performance,256,6,64,64,64,0,0,1,1,800,1024,25
RUN_000020,RUN_000020.log,memory_ecc_test,231733,hotspot,light,write_back,O2,800,4,745.72,112.58,7.563,105,94.28,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0004,"{""code_coverage_pct"": [90.8], ""memory_latency_ns"": [100], ""soc_block"": [""MEMORY""], ""transaction_count"": [18281]}",performance,256,6,64,64,64,0,0,1,1,800,1024,25
RUN_000021,RUN_000021.log,cache_snoop_stress,200076,burst,medium,write_through,O0,800,4,641.23,105.83,8.923,50,93.57,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0005,"{""code_coverage_pct"": [86.98], ""memory_latency_ns"": [100], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [8679]}",balanced,256,4,256,64,8,1,1,1,1,900,1024,150
RUN_000022,RUN_000022.log,cache_snoop_stress,207995,burst,medium,write_through,O0,800,4,814.41,131.53,6.574,50,94.28,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0005,"{""code_coverage_pct"": [89.49], ""memory_latency_ns"": [100], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [22935]}",balanced,256,4,256,64,8,1,1,1,1,900,1024,150
RUN_000023,RUN_000023.log,cache_snoop_stress,215914,burst,medium,write_through,O0,800,4,638.04,128.6,6.969,50,89.75,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0005,"{""code_coverage_pct"": [90.77], ""memory_latency_ns"": [100], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [11483]}",balanced,256,4,256,64,8,1,1,1,1,900,1024,150
RUN_000024,RUN_000024.log,cache_snoop_stress,223833,burst,medium,write_through,O0,800,4,440.8,119.53,12.045,50,86.75,Fail,NOC_DEADLOCK,NOC_CREDIT_STARVATION,parsed_status_field,0.95,False,False,CFG_0005,"{""code_coverage_pct"": [82.77], ""error_code"": [""NOC-431""], ""event"": [""BURST_WINDOW_FULL""], ""memory_latency_ns"": [100], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [22838]}",balanced,256,4,256,64,8,1,1,1,1,900,1024,150
RUN_000025,RUN_000025.log,cache_snoop_stress,231752,burst,medium,write_through,O0,800,4,857.87,125.0,7.585,50,96.0,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0005,"{""code_coverage_pct"": [91.54], ""memory_latency_ns"": [100], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [7787]}",balanced,256,4,256,64,8,1,1,1,1,900,1024,150
RUN_000026,RUN_000026.log,noc_fabric_stress,200095,mixed,throughput_sensitive,write_back,O0,1000,2,583.03,241.96,7.141,25,91.96,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0006,"{""code_coverage_pct"": [92.97], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [12431]}",performance,2048,4,128,64,8,1,0,1,1,800,64,150
RUN_000027,RUN_000027.log,noc_fabric_stress,208014,mixed,throughput_sensitive,write_back,O0,1000,2,607.49,213.08,7.612,25,96.43,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0006,"{""code_coverage_pct"": [89.79], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [15574]}",performance,2048,4,128,64,8,1,0,1,1,800,64,150
RUN_000028,RUN_000028.log,noc_fabric_stress,215933,mixed,throughput_sensitive,write_back,O0,1000,2,697.28,230.46,9.535,25,87.94,Fail,ASSERTION_FAILURE,ASSERTION_SEQUENCE_MISMATCH,parsed_status_field,0.95,False,False,CFG_0006,"{""code_coverage_pct"": [87.1], ""error_code"": [""SVA-701""], ""event"": [""THERMAL_MARGIN_LOW""], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [19136]}",performance,2048,4,128,64,8,1,0,1,1,800,64,150
RUN_000029,RUN_000029.log,noc_fabric_stress,223852,mixed,throughput_sensitive,write_back,O0,1000,2,570.79,241.23,7.494,25,89.52,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0006,"{""code_coverage_pct"": [95.19], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [15503]}",performance,2048,4,128,64,8,1,0,1,1,800,64,150
RUN_000030,RUN_000030.log,noc_fabric_stress,231771,mixed,throughput_sensitive,write_back,O0,1000,2,753.05,216.34,7.592,25,92.84,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0006,"{""code_coverage_pct"": [93.05], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [22373]}",performance,2048,4,128,64,8,1,0,1,1,800,64,150
RUN_000031,RUN_000031.log,dma_ring_stress,200114,burst,heavy,write_through,O3,600,2,608.48,233.12,8.364,105,92.68,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0007,"{""code_coverage_pct"": [87.4], ""memory_latency_ns"": [200], ""soc_block"": [""DMA""], ""transaction_count"": [17041]}",performance,1024,2,128,8,32,0,1,0,1,850,512,50
RUN_000032,RUN_000032.log,dma_ring_stress,208033,burst,heavy,write_through,O3,600,2,687.46,238.1,11.723,105,85.38,Fail,ASSERTION_FAILURE,ASSERTION_SEQUENCE_MISMATCH,parsed_status_field,0.95,False,False,CFG_0007,"{""code_coverage_pct"": [82.93], ""error_code"": [""SVA-701""], ""event"": [""IRQ_BACKLOG_RISING""], ""memory_latency_ns"": [200], ""soc_block"": [""DMA""], ""transaction_count"": [19910]}",performance,1024,2,128,8,32,0,1,0,1,850,512,50
RUN_000033,RUN_000033.log,dma_ring_stress,215952,burst,heavy,write_through,O3,600,2,654.77,215.97,9.63,105,98.21,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0007,"{""code_coverage_pct"": [88.05], ""memory_latency_ns"": [200], ""soc_block"": [""DMA""], ""transaction_count"": [13960]}",performance,1024,2,128,8,32,0,1,0,1,850,512,50
RUN_000034,RUN_000034.log,dma_ring_stress,223871,burst,heavy,write_through,O3,600,2,562.02,226.98,8.014,105,94.31,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0007,"{""code_coverage_pct"": [88.81], ""memory_latency_ns"": [200], ""soc_block"": [""DMA""], ""transaction_count"": [12308]}",performance,1024,2,128,8,32,0,1,0,1,850,512,50
RUN_000035,RUN_000035.log,dma_ring_stress,231790,burst,heavy,write_through,O3,600,2,549.94,218.45,6.363,105,96.51,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0007,"{""code_coverage_pct"": [91.28], ""memory_latency_ns"": [200], ""soc_block"": [""DMA""], ""transaction_count"": [9881]}",performance,1024,2,128,8,32,0,1,0,1,850,512,50
RUN_000036,RUN_000036.log,power_transition_stress,200133,uniform,throughput_sensitive,write_back,O2,600,16,631.92,181.82,8.982,25,93.08,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0008,"{""code_coverage_pct"": [92.66], ""memory_latency_ns"": [160], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [11290]}",performance,512,2,128,4,4,1,0,0,1,800,64,150
RUN_000037,RUN_000037.log,power_transition_stress,208052,uniform,throughput_sensitive,write_back,O2,600,16,636.13,189.79,9.359,25,92.64,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0008,"{""code_coverage_pct"": [90.75], ""memory_latency_ns"": [160], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [6008]}",performance,512,2,128,4,4,1,0,0,1,800,64,150
RUN_000038,RUN_000038.log,power_transition_stress,215971,uniform,throughput_sensitive,write_back,O2,600,16,842.31,179.37,6.99,25,95.46,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0008,"{""code_coverage_pct"": [93.94], ""memory_latency_ns"": [160], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [7773]}",performance,512,2,128,4,4,1,0,0,1,800,64,150
RUN_000039,RUN_000039.log,power_transition_stress,223890,uniform,throughput_sensitive,write_back,O2,600,16,502.64,181.58,4.822,25,93.46,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0008,"{""code_coverage_pct"": [92.77], ""memory_latency_ns"": [160], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [5496]}",performance,512,2,128,4,4,1,0,0,1,800,64,150
RUN_000040,RUN_000040.log,power_transition_stress,231809,uniform,throughput_sensitive,write_back,O2,600,16,571.2,187.86,8.061,25,91.46,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0008,"{""code_coverage_pct"": [91.68], ""memory_latency_ns"": [160], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [7428]}",performance,512,2,128,4,4,1,0,0,1,800,64,150
RUN_000041,RUN_000041.log,power_transition_stress,200152,hotspot,heavy,write_back,O2,800,4,676.19,121.47,6.851,90,98.66,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0009,"{""code_coverage_pct"": [90.8], ""memory_latency_ns"": [100], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [19568]}",balanced,256,2,128,8,8,0,0,0,1,850,512,10
RUN_000042,RUN_000042.log,power_transition_stress,208071,hotspot,heavy,write_back,O2,800,4,647.71,123.59,8.383,90,93.06,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0009,"{""code_coverage_pct"": [94.85], ""memory_latency_ns"": [100], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [10030]}",balanced,256,2,128,8,8,0,0,0,1,850,512,10
RUN_000043,RUN_000043.log,power_transition_stress,215990,hotspot,heavy,write_back,O2,800,4,767.1,128.29,10.883,90,93.26,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0009,"{""code_coverage_pct"": [88.92], ""memory_latency_ns"": [100], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [5136]}",balanced,256,2,128,8,8,0,0,0,1,850,512,10
RUN_000044,RUN_000044.log,power_transition_stress,223909,hotspot,heavy,write_back,O2,800,4,692.7,126.15,6.607,90,93.86,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0009,"{""code_coverage_pct"": [93.43], ""memory_latency_ns"": [100], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [19548]}",balanced,256,2,128,8,8,0,0,0,1,850,512,10
RUN_000045,RUN_000045.log,power_transition_stress,231828,hotspot,heavy,write_back,O2,800,4,726.96,119.28,7.739,90,92.22,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0009,"{""code_coverage_pct"": [88.07], ""memory_latency_ns"": [100], ""soc_block"": [""POWER_CTRL""], ""transaction_count"": [23441]}",balanced,256,2,128,8,8,0,0,0,1,850,512,10
RUN_000046,RUN_000046.log,memory_ecc_test,200171,random,latency_sensitive,write_back,O2,1200,4,486.96,184.56,7.456,25,92.09,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0010,"{""code_coverage_pct"": [87.69], ""memory_latency_ns"": [160], ""soc_block"": [""MEMORY""], ""transaction_count"": [14288]}",balanced,512,6,64,4,64,0,1,1,0,850,2048,100
RUN_000047,RUN_000047.log,memory_ecc_test,208090,random,latency_sensitive,write_back,O2,1200,4,605.42,194.79,6.044,25,93.64,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0010,"{""code_coverage_pct"": [91.41], ""memory_latency_ns"": [160], ""soc_block"": [""MEMORY""], ""transaction_count"": [20091]}",balanced,512,6,64,4,64,0,1,1,0,850,2048,100
RUN_000048,RUN_000048.log,memory_ecc_test,216009,random,latency_sensitive,write_back,O2,1200,4,754.53,187.49,11.664,25,93.07,Fail,TRANSLATION_FAULT,IOMMU_TRANSLATION_MISS,parsed_status_field,0.95,False,False,CFG_0010,"{""code_coverage_pct"": [86.4], ""error_code"": [""IOMMU-411""], ""event"": [""CREDIT_RETURN_DELAY""], ""memory_latency_ns"": [160], ""soc_block"": [""MEMORY""], ""transaction_count"": [21431]}",balanced,512,6,64,4,64,0,1,1,0,850,2048,100
RUN_000049,RUN_000049.log,memory_ecc_test,223928,random,latency_sensitive,write_back,O2,1200,4,516.73,190.19,8.833,25,88.5,Fail,TRANSLATION_FAULT,IOMMU_TRANSLATION_MISS,parsed_status_field,0.95,False,False,CFG_0010,"{""code_coverage_pct"": [86.69], ""error_code"": [""IOMMU-411""], ""event"": [""IRQ_BACKLOG_RISING""], ""memory_latency_ns"": [160], ""soc_block"": [""MEMORY""], ""transaction_count"": [12534]}",balanced,512,6,64,4,64,0,1,1,0,850,2048,100
RUN_000050,RUN_000050.log,memory_ecc_test,231847,random,latency_sensitive,write_back,O2,1200,4,746.64,177.34,8.486,25,92.28,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0010,"{""code_coverage_pct"": [94.16], ""memory_latency_ns"": [160], ""soc_block"": [""MEMORY""], ""transaction_count"": [22025]}",balanced,512,6,64,4,64,0,1,1,0,850,2048,100
RUN_000051,RUN_000051.log,axi_random_stress,200190,mixed,heavy,write_back,O0,800,16,751.86,239.01,8.101,90,98.01,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0011,"{""code_coverage_pct"": [92.0], ""memory_latency_ns"": [200], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [17598]}",performance,2048,2,256,16,16,0,0,0,0,850,1024,10
RUN_000052,RUN_000052.log,axi_random_stress,208109,mixed,heavy,write_back,O0,800,16,755.74,234.44,9.598,90,94.53,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0011,"{""code_coverage_pct"": [89.24], ""memory_latency_ns"": [200], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [7358]}",performance,2048,2,256,16,16,0,0,0,0,850,1024,10
RUN_000053,RUN_000053.log,axi_random_stress,216028,mixed,heavy,write_back,O0,800,16,572.57,218.99,8.453,90,92.55,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0011,"{""code_coverage_pct"": [91.17], ""memory_latency_ns"": [200], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [23421]}",performance,2048,2,256,16,16,0,0,0,0,850,1024,10
RUN_000054,RUN_000054.log,axi_random_stress,223947,mixed,heavy,write_back,O0,800,16,725.78,221.69,7.171,90,94.1,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0011,"{""code_coverage_pct"": [90.15], ""memory_latency_ns"": [200], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [9432]}",performance,2048,2,256,16,16,0,0,0,0,850,1024,10
RUN_000055,RUN_000055.log,axi_random_stress,231866,mixed,heavy,write_back,O0,800,16,517.38,212.2,10.522,90,86.91,Fail,ASSERTION_FAILURE,ASSERTION_SEQUENCE_MISMATCH,parsed_status_field,0.95,False,False,CFG_0011,"{""code_coverage_pct"": [83.47], ""error_code"": [""SVA-701""], ""event"": [""BURST_WINDOW_FULL""], ""memory_latency_ns"": [200], ""soc_block"": [""AXI_SUBSYS""], ""transaction_count"": [24619]}",performance,2048,2,256,16,16,0,0,0,0,850,1024,10
RUN_000056,RUN_000056.log,noc_fabric_stress,200209,mixed,heavy,write_back,O0,1000,2,638.38,215.64,7.233,75,93.76,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0012,"{""code_coverage_pct"": [93.22], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [18983]}",performance,1024,6,64,16,4,0,1,1,1,750,512,25
RUN_000057,RUN_000057.log,noc_fabric_stress,208128,mixed,heavy,write_back,O0,1000,2,740.61,216.92,7.591,75,94.54,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0012,"{""code_coverage_pct"": [90.68], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [16017]}",performance,1024,6,64,16,4,0,1,1,1,750,512,25
RUN_000058,RUN_000058.log,noc_fabric_stress,216047,mixed,heavy,write_back,O0,1000,2,776.28,229.99,7.384,75,93.75,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0012,"{""code_coverage_pct"": [92.24], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [10043]}",performance,1024,6,64,16,4,0,1,1,1,750,512,25
RUN_000059,RUN_000059.log,noc_fabric_stress,223966,mixed,heavy,write_back,O0,1000,2,780.88,223.82,9.43,75,91.26,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0012,"{""code_coverage_pct"": [90.48], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [17927]}",performance,1024,6,64,16,4,0,1,1,1,750,512,25
RUN_000060,RUN_000060.log,noc_fabric_stress,231885,mixed,heavy,write_back,O0,1000,2,564.19,215.38,8.854,75,97.03,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0012,"{""code_coverage_pct"": [93.63], ""memory_latency_ns"": [200], ""soc_block"": [""NOC""], ""transaction_count"": [16501]}",performance,1024,6,64,16,4,0,1,1,1,750,512,25
RUN_000061,RUN_000061.log,dma_ring_stress,200228,random,medium,write_back,O0,800,8,692.52,117.08,7.3,50,94.88,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0013,"{""code_coverage_pct"": [91.19], ""memory_latency_ns"": [70], ""soc_block"": [""DMA""], ""transaction_count"": [11066]}",performance,256,2,32,8,4,1,1,1,0,900,512,150
RUN_000062,RUN_000062.log,dma_ring_stress,208147,random,medium,write_back,O0,800,8,751.88,85.64,8.492,50,94.36,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0013,"{""code_coverage_pct"": [93.34], ""memory_latency_ns"": [70], ""soc_block"": [""DMA""], ""transaction_count"": [9794]}",performance,256,2,32,8,4,1,1,1,0,900,512,150
RUN_000063,RUN_000063.log,dma_ring_stress,216066,random,medium,write_back,O0,800,8,654.88,103.68,8.382,50,94.37,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0013,"{""code_coverage_pct"": [88.84], ""memory_latency_ns"": [70], ""soc_block"": [""DMA""], ""transaction_count"": [14370]}",performance,256,2,32,8,4,1,1,1,0,900,512,150
RUN_000064,RUN_000064.log,dma_ring_stress,223985,random,medium,write_back,O0,800,8,686.37,83.99,8.723,50,94.26,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0013,"{""code_coverage_pct"": [90.6], ""memory_latency_ns"": [70], ""soc_block"": [""DMA""], ""transaction_count"": [14689]}",performance,256,2,32,8,4,1,1,1,0,900,512,150
RUN_000065,RUN_000065.log,dma_ring_stress,231904,random,medium,write_back,O0,800,8,565.59,86.37,7.368,50,92.0,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0013,"{""code_coverage_pct"": [89.94], ""memory_latency_ns"": [70], ""soc_block"": [""DMA""], ""transaction_count"": [25000]}",performance,256,2,32,8,4,1,1,1,0,900,512,150
RUN_000066,RUN_000066.log,cache_snoop_stress,200247,uniform,latency_sensitive,write_through,O2,1200,16,485.15,94.19,8.069,105,94.26,Pass,NONE,,parsed_status_field,0.95,False,False,CFG_0014,"{""code_coverage_pct"": [88.39], ""memory_latency_ns"": [70], ""soc_block"": [""L2_CACHE""], ""transaction_count"": [5800]}",power_save,2048,4,32,32,8,0,1,1,1,850,256,100
